Name,Release Date,Number of Reviews,Summary,Plays,Playing,ratio_confiance,Score,Genre,Platform,Date
Ghostrunner,2020-10-27,486.0,"Ascend humanity’s last remaining shelter, a great tower-city. The tower is torn by violence, poverty and chaos. Conquer your enemies, discover the secrets of the superstructure and your own origin and obtain the power to challenge The Keymaster.",3.3K,170,0.5639664796338646,3.9,"Adventure,Platform,Shooter",PC,2020
A Short Hike,2019-07-30,1100.0,"Hike, climb, and soar through the peaceful mountainside landscapes of Hawk Peak Provincial Park as you make your way to the summit.",5.4K,91,1.0,8.6,"Adventure,Indie,Platform",PC,2019
Horizon Zero Dawn,2017-02-28,1200.0,"Welcome to a vibrant world rich with the beauty of nature – but inhabited by awe-inspiring, highly advanced machines. As a young machine hunter named Aloy, you must unravel the mysteries of this world and find your own destiny.",13K,689,1.0,8.1,"Adventure,RPG,Shooter",PS4,2017
Carrion,2020-07-23,432.0,Carrion is a reverse horror game in which you assume the role of an amorphous alien being. Use your unique otherworldly abilities to your advantage and hunt down your prey!,2.8K,83,0.501303537452324,3.4,"Adventure,Indie,Platform",PC,2020
Paper Mario: The Origami King,2020-07-17,525.0,"Join Mario and his new companion Olivia on a comedic adventure that will take you to the far corners of a papercraft world in Paper Mario: The Origami King on Nintendo Switch!


              Face off against the Origami King and his army of paper invaders, team up with some extraordinary companions and master magical powers on your quest to save the world.


              Unwrap an epic quest!


              Travel the land, repair the damage done by the Folded Soldiers and rescue Toads trapped in all manner of wacky scrapes!


              With the help of Olivia’s paper-folding powers, use the far-reaching 1,000 Fold Arms and other paper transformations to save those imprisoned by the Origami King’s henchmen, and help restore peace to the world.


              Put a stop to King Olly's plans by engaging in battles which will put both your tactical thinking and puzzle solving skills to the test – against his origami army, as well as humongous bosses under his command!",2.4K,188,0.6092230489871994,4.6,"Adventure,RPG",NS,2020
Death Stranding,2019-11-08,1600.0,"From legendary game creator Hideo Kojima comes an all-new, genre-defying open world action adventure, starring Norman Reedus, Mads Mikkelsen, Léa Seydoux and Lindsay Wagner.


              In the near future, mysterious explosions have rocked the globe, setting off a series of supernatural events known as the Death Stranding. With otherworldly creatures plaguing the landscape, and mass extinction imminent, it’s up to Sam Porter Bridges to travel across the ravaged wasteland and save humanity from impending annihilation.",9.4K,934,1.0,8.4,"Adventure,RPG,Shooter",PS4,2019
Xenoblade Chronicles: Definitive Edition,2020-05-29,1400.0,"Discover the origins of Shulk as he and his companions clash against a seemingly-unstoppable mechanical menace. Wield a future-seeing blade, chain together attacks, and carefully position your party members in strategic, real-time combat as you journey across a massive world.",7.4K,849,1.0,8.8,RPG,NS,2020
Nioh 2,2020-03-13,365.0,"Master the lethal arts of the samurai as a mysterious half-human, half-supernatural Yokai warrior, in this challenging action RPG sequel. Explore violent Sengoku-era Japan and the deadly Dark Realm, both plagued with grotesque, merciless demons. Unsheathe your deadly weapons and cut down all enemies in your path using a revamped combat system and the ability to transform into a full Yokai to unleash devastating paranormal powers.",1.4K,150,0.4235550721530053,3.4,"Adventure,RPG,Brawler",PS4,2020
Children of Morta,2019-09-03,153.0,"Children of Morta is a narrative driven hack and slash roguelike. Take on the role of a member of the Bergson family, the Guardians of Mount Morta, as you fight desperately against the Corruption. Experience not only what it means to be a hero, but to be part of a family that bears the weight of the mountain together.",727,54,0.1775450028476981,1.3,"Adventure,RPG,Indie",PC,2019
Transistor,2014-05-20,784.0,"An unconventional tactical action RPG in which after a powerful group called the Camerata cause measureless destruction through the ambiguous settlement of Cloudbank, Red, a famous singer in the city, goes on a journey along with her lover who is trapped inside the Transistor, a powerful machine with mysterious properties, to get to the bottom of the situation and get her lost voice back.",5.6K,172,0.9097730864875512,7.1,"Adventure,RPG,Indie,Turn Based Strategy,Strategy",PC,2014
